guid,name,version,is_system,n_installs,pct_installed
client@anonymox.net,anonymoX,2.5.2,False,"17,593",1.96
_8hMembers_@download.allin1convert.com,Allin1Convert,7.102.10.3584,False,"15,328",1.71
_dzMembers_@www.pconverter.com,PConverter,7.102.10.4851,False,"14,526",1.62
adbhelper@mozilla.org,ADB Helper,0.9.0,False,"14,523",1.62
light_plugin_D772DC8D6FAF43A29B25C4EBAA5AD1DE@kaspersky.com,Kaspersky Protection,4.6.2-42-20160922074409,False,"14,231",1.59
fxdevtools-adapters@mozilla.org,Valence,0.3.5,False,"13,872",1.55
abs@avira.com,Avira Browser Safety,2.0.0.10221,False,"13,338",1.49
_9pMembers_@free.onlinemapfinder.com,OnlineMapFinder,7.102.10.4836,False,"13,276",1.48
{DDC359D1-844A-42a7-9AA1-88A850A938A8},DownThemAll!,3.0.8,False,"13,233",1.48
@DownloadManager,DownloadManager,0.2.1,False,"12,896",1.44
{176c8b66-7fc3-4af5-a86b-d0207c456b14},Search Powered by Yahoo Engine,1.0,False,"12,780",1.42
{b9acf540-acba-11e1-8ccb-001fd0e08bd4},Easy Youtube Video Downloader Express,9.11,False,"12,440",1.39
firefox@mega.co.nz,MEGA,3.6.19,False,"12,264",1.37
ar1er-ewrgfdgomusix@jetpack,goMusix,1.0.6,False,"11,818",1.32
{e4a8a97b-f2ed-450b-b12d-ee082ba24781},Greasemonkey,3.9,False,"11,508",1.28
_agMembers_@free.premierdownloadmanager.com,PremierDownloadManager,7.102.10.4846,False,"11,293",1.26
www.facebook.com@services.mozilla.org,Facebook,2,,"11,272",1.26
_paMembers_@www.filmfanatic.com,FilmFanatic,7.102.10.4163,False,"10,969",1.22
_gtMembers_@free.gamingwonderland.com,GamingWonderland,7.102.10.4263,False,"10,538",1.17
avg@toolbar,AVG Web TuneUp,4.3.6.255,False,"9,757",1.09
jid0-GXjLLfbCoAx0LcltEdFrEkQdQPI@jetpack,"Awesome Screenshot - Capture, Annotate & More",3.0.14,False,"9,311",1.04
LVD-SAE@iacsearchandmedia.com,iLivid,8.5,False,"9,235",1.03
vb@yandex.ru,Визуальные закладки,2.31.3,False,"9,148",1.02
_fsMembers_@free.pdfconverterhq.com,PDFConverterHQ,7.102.10.4849,False,"9,055",1.01
_6xMembers_@www.readingfanatic.com,ReadingFanatic,7.102.10.4914,False,"8,909",0.99
@mysmartprice-ff,MySmartPrice,0.0.6,False,"8,711",0.97
{bee6eb20-01e0-ebd1-da83-080329fb9a3a},Flash and Video Download,2.03,False,"8,507",0.95
mozilla_cc2@internetdownloadmanager.com,IDM integration,6.23.19,False,"8,282",0.92
87677a2c52b84ad3a151a4a72f5bd3c4@jetpack,Grammarly for Firefox,8.698.584,False,"7,843",0.87
jid1-YcMV6ngYmQRA2w@jetpack,Pin It button,1.37.9,False,"7,778",0.87
{58d735b4-9d6c-4e37-b146-7b9f7e79e318},Findwide Search Engine,1.6,False,"7,634",0.85
sovetnik@metabar.ru,Советник Яндекс.Маркета,3.1.4.90,False,"7,574",0.84
anttoolbar@ant.com,Ant Video Downloader,2.4.7.47,False,"7,574",0.84
@testpilot-addon,Test Pilot,0.9.1-dev-e42d9cb,False,"7,437",0.83
adblockpopups@jessehakanen.net,Adblock Plus Pop-up Addon,0.9.2.1-signed.1-signed,False,"7,090",0.79
ERAIL.IN.FFPLUGIN@jetpack,ERail Plugin for Firefox,6.0.rev142,False,"7,011",0.78
WebProtection@360safe.com,360 Internet Protection,5.0.0.1005,False,"7,001",0.78
yasearch@yandex.ru,Yandex Elements,8.20.4,False,"6,607",0.74
firefox@ghostery.com,Ghostery,7.1.1.5,False,"6,436",0.72
{19503e42-ca3c-4c27-b1e2-9cdb2170ee34},FlashGot,1.5.6.14,False,"6,262",0.70
{C1A2A613-35F1-4FCF-B27F-2840527B6556},Norton Security Toolbar,2016.8.1.9,False,"6,226",0.69
_b7Members_@free.mytransitguide.com,MyTransitGuide,7.102.10.4812,False,"6,060",0.68
bingsearch.full@microsoft.com,Bing Search,1.0.0.8,False,"5,939",0.66
_64Members_@www.televisionfanatic.com,TelevisionFanatic,7.102.10.4968,False,"5,745",0.64
firefox@zenmate.com,"ZenMate Security, Privacy & Unblock VPN",5.9.0,False,"5,709",0.64
_9tMembers_@free.internetspeedtracker.com,InternetSpeedTracker,7.102.10.4339,False,"5,645",0.63
support@lastpass.com,LastPass,3.3.1,False,"5,637",0.63
jid1-HAV2inXAnQPIeA@jetpack,YouTube™ Flash® Player,1.7.1,False,"5,469",0.61
info@youtube-mp3.org,YouTube mp3,1.0.9.1-signed.1-signed,False,"5,440",0.61
ffext_basicvideoext@startpage24,Video Downloader professional,1.97.37.1-signed.1-signed,False,"5,379",0.60
@Email,Email,4.0.12,False,"5,214",0.58
{73a6fe31-595d-460b-a920-fcc0f8843232},NoScript,2.9.5.2,False,"5,194",0.58
MUB-SAE@iacsearchandmedia.com,Music Box,8.7,False,"5,183",0.58
_gcMembers_@www.weatherblink.com,WeatherBlink,7.38.8.56523,False,"5,101",0.57
_4jMembers_@www.radiorage.com,RadioRage,7.102.10.4916,False,"5,093",0.57
_dqMembers_@www.downspeedtest.com,DownSpeedTest,7.102.10.3827,False,"4,984",0.56
{f3bd3dd2-2888-44c5-91a2-2caeb33fb898},YouTube Flash Video Player,50.0,False,"4,683",0.52
translator@zoli.bod,Google Translator for Firefox,2.1.0.5.1.1-signed,False,"4,633",0.52
mg.mail.yahoo.com@services.mozilla.org,Yahoo Mail,1.0,,"4,537",0.51
tvplusnewtab-the-extension1@mozilla.com,tvplusnewtab Extension,0.1.5,False,"4,450",0.50
{a38384b3-2d1d-4f36-bc22-0f7ae402bcd7},Визуальные закладки @Mail.Ru,1.0.0.51,False,"4,423",0.49
_1eMembers_@www.videoscavenger.com,VideoScavenger,7.38.8.45273,False,"4,350",0.49
homepage@mail.ru,Домашняя страница Mail.Ru,1.0.2,False,"4,271",0.48
{7b8a500a-a464-4624-bd4f-73eaafe0f766},Video AdBlock,3.0,False,"4,160",0.46
_69Members_@www.packagetracer.com,PackageTracer,7.102.10.4831,False,"4,149",0.46
{a0d7ccb3-214d-498b-b4aa-0e8fda9a7bf7},WOT,20151208,False,"4,112",0.46
search@mail.ru,Поиск@Mail.Ru,1.0.7,False,"4,097",0.46
paulsaintuzb@gmail.com,Youtube Downloader - 4K Download,8.2.1,False,"4,085",0.46
jid1-q4sG8pYhq8KGHs@jetpack,AdBlocker for YouTube™,0.2.5,False,"4,066",0.45
k7srff_enUS@k7computing.com,K7 WebProtection,2.4,False,"3,948",0.44
{170503FA-3349-4F17-BC86-001888A5C8E2},Youtube Best Video Downloader 2,6.2,False,"3,894",0.43
_e5Members_@www.productivityboss.com,ProductivityBoss,7.38.8.46590,False,"3,861",0.43
vdpure@link64,Youtube and more - Easy Video Downloader,1.97.43,False,"3,801",0.42
jetpack-extension@dashlane.com,Dashlane,4.2.3,False,"3,736",0.42
{5384767E-00D9-40E9-B72F-9CC39D655D6F},EPUBReader,1.5.0.9,False,"3,732",0.42
